Sample	R1	R2	Reference_name	Reference_fasta	Reference_gbk	Annot_db
SPA11_PH12_2	Mutant_genome_reads_20260310/SPA11_PH12_2_S71_L001_R1_001.fastq.gz	Mutant_genome_reads_20260310/SPA11_PH12_2_S71_L001_R2_001.fastq.gz	SPA11	References/SPA11.fna	References/SPA11.gbk	References/Staphylococcus_aureus/GCF_000013425.1.protein.dmnd
SPA11_PH12_3	Mutant_genome_reads_20260310/SPA11_PH12_3_S70_L001_R1_001.fastq.gz	Mutant_genome_reads_20260310/SPA11_PH12_3_S70_L001_R2_001.fastq.gz	SPA11	References/SPA11.fna	References/SPA11.gbk	References/Staphylococcus_aureus/GCF_000013425.1.protein.dmnd
SPA39_PH18	Mutant_genome_reads_20260310/SPA39_PH18_S72_L001_R1_001.fastq.gz	Mutant_genome_reads_20260310/SPA39_PH18_S72_L001_R2_001.fastq.gz	SPA39	References/SPA39.fna	References/SPA39.gbk	References/Staphylococcus_aureus/GCF_000013425.1.protein.dmnd
SPA60_PH4	Mutant_genome_reads_20260310/SPA60_PH4_S68_L001_R1_001.fastq.gz	Mutant_genome_reads_20260310/SPA60_PH4_S68_L001_R2_001.fastq.gz	SPA60	References/SPA60.fna	References/SPA60.gbk	References/Staphylococcus_aureus/GCF_000013425.1.protein.dmnd
SPA75_PH12	Mutant_genome_reads_20260310/SPA75_PH12_S69_L001_R1_001.fastq.gz	Mutant_genome_reads_20260310/SPA75_PH12_S69_L001_R2_001.fastq.gz	SPA75	References/SPA75.fna	References/SPA75.gbk	References/Staphylococcus_aureus/GCF_000013425.1.protein.dmnd
SPA79_PH18	Mutant_genome_reads_20260310/SPA79_PH18_S67_L001_R1_001.fastq.gz	Mutant_genome_reads_20260310/SPA79_PH18_S67_L001_R2_001.fastq.gz	SPA79	References/SPA79.fna	References/SPA79.gbk	References/Staphylococcus_aureus/GCF_000013425.1.protein.dmnd
